Record Id,Data Source,Allocated  NN,Pcode,Xcord,Ycord,Last  Modified,Generic Geography/Street name?
190,Staff Survey,Comely Bank,eh4 1ey,324097,674364,04/09/2013,
191,Staff Survey,Portobello,EH15 2AE,330650,673630,04/09/2013,
192,Staff Survey,Fountainbridge,EH3 8AF,324374,673181,04/09/2013,
193,Staff Survey,Pilrig,EH6 5AB,326137,675433,04/09/2013,
194,Staff Survey,Mortonhall,EH16 6TJ,326214,668379,04/09/2013,
195,Staff Survey,Newhaven,EH6 4Na,325559,677005,04/09/2013,
196,Staff Survey,Gorgie,EH11 2QT,322664,672245,04/09/2013,
197,Staff Survey,Firrhill,EH13 9AP,323044,669304,04/09/2013,
198,Staff Survey,Leith,EH6 8SH,326619,675093,04/09/2013,
199,Staff Survey,Brunstane,EH15 2RQ,331690,672153,04/09/2013,
200,Staff Survey,Alnwickhill,EH16 6UY,326721,668550,04/09/2013,
201,Staff Survey,Newington,EH8 9PU,326375,672426,04/09/2013,
202,Staff Survey,Granton,EH5 2EW,323790,676409,04/09/2013,
203,Staff Survey,Comely Bank/Stockbridge,EH4 1AW,323967,674705,04/09/2013,
204,Staff Survey,Hillside,EH7 5EQ,326803,674547,04/09/2013,
205,Staff Survey,Boswall,eh5 2ew,323790,676409,04/09/2013,
206,Staff Survey,Abbeyhill,EH8 8EF,327087,674276,04/09/2013,
207,Staff Survey,Sciennes,EH9 1PE,325957,672335,04/09/2013,
208,Staff Survey,Leith,EH6 8QB,327012,675468,04/09/2013,
209,Staff Survey,Leith,EH6 8SP,326720,675164,04/09/2013,
210,Staff Survey,Easter Road,EH7 5NB,327050,674977,04/09/2013,
211,Staff Survey,South East Edinburgh,EH17 8PE,328700,667933,04/09/2013,generic
212,Staff Survey,Portobello,EH15 2AJ,330592,673745,04/09/2013,
213,Staff Survey,Braids,EH10 6JW,324569,669654,04/09/2013,
214,Staff Survey,Fountainbridge,EH3 8DD,324482,673060,04/09/2013,
215,Staff Survey,Gorgie/Dalry,EH11 2AP,324031,672886,04/09/2013,
216,Staff Survey,Bonaly,EH13 0QT,321113,668778,04/09/2013,
217,Staff Survey,Morningside,EH10 6ER,324344,670314,04/09/2013,
218,Staff Survey,West Edinburgh,EH28 8PB,314165,670841,04/09/2013,generic
219,Staff Survey,Craigentinny,EH7 6PU,329016,674506,04/09/2013,
220,Staff Survey,Leith,EH6 8SR,326780,675156,04/09/2013,
221,Staff Survey,Blackford,EH9 2PR,326019,671163,04/09/2013,
222,Staff Survey,Mountcastle,EH8 7TB,329165,674015,04/09/2013,
223,Staff Survey,Gorgie/Saughton/Murrayfield/Roseburn/Stenhouse /Whitson,EH11 2SN,322335,672277,04/09/2013,
224,Staff Survey,Old Town,EH1 1QN,325907,673687,04/09/2013,
225,Staff Survey,Bonnington,EH6 5TB,325926,676031,04/09/2013,
226,Staff Survey,Bonnington,eh6 5qb,326018,675953,04/09/2013,
227,Staff Survey,Comiston,EH10 6PS,324258,669002,04/09/2013,
228,Staff Survey,Dalry,Eh11 2BL,324126,673107,04/09/2013,
229,Staff Survey,Slateford/Gorgie,EH11 1RB,323061,671913,04/09/2013,
230,Staff Survey,Stockbridge,EH3 5DP,325014,674836,04/09/2013,
231,Staff Survey,Trinity,EH5 2BE,323996,676514,04/09/2013,
232,Staff Survey,Davidson's Mains,EH4 6AN,320311,675484,04/09/2013,
233,Staff Survey,Comely Bank,EH4 1EN,324025,674640,04/09/2013,
234,Staff Survey,Canonmills,EH7 4DZ,325489,675054,04/09/2013,
235,Staff Survey,Abbeyhill,EH8 8JH,327206,674376,04/09/2013,
236,Staff Survey,South Gyle,EH12 9ET,319030,671984,04/09/2013,
237,Staff Survey,South Queensferry,EH30 9JD,313192,677861,04/09/2013,
238,Staff Survey,Duddingston,eh8 7rp,329251,673385,04/09/2013,
239,Staff Survey,Gorgie,EH11 2PG,322889,672347,04/09/2013,
240,Staff Survey,The Findlays,EH7 6HE,328360,675261,04/09/2013,
241,Staff Survey,Muirhouse,EH4 4SN,321138,676251,04/09/2013,
242,Staff Survey,North Leith,EH6 5LQ,326656,676228,04/09/2013,
243,Staff Survey,Gorgie,eh14 1sa,322175,671738,04/09/2013,
244,Staff Survey,North Edinburgh,EH5 1LG,322893,676507,04/09/2013,generic
245,Staff Survey,South Queensferry,EH30 9XG,311633,677923,04/09/2013,
246,Staff Survey,Portobello,EH8 7BD,328518,674273,04/09/2013,
247,Staff Survey,Duddingston,EH15 1SR,329343,673097,04/09/2013,
248,Staff Survey,Dreghorn,eh13 9nj,323171,668579,04/09/2013,
250,Staff Survey,Myreside,EH10 5DD,323755,671398,04/09/2013,
251,Staff Survey,Stockbridge,EH4 1EU,324148,674427,04/09/2013,
